Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Рязанская область;;№ 2020 (АЗС-партнер);Рязанская область, Клепиковский район. Клепиковский р-н, пгт. Тума, ул. Молодежная, д. 21 .;55,145889;40,529988;Магазин;"Кофе
Туалет";51.4 руб.;59.7 руб.;67 руб.;69 руб.;;;;;;;;;;;;;;;
Нижегородская область АЗС №594;;№ 594;Нижегородская область г. Арзамас ул. Победы стр. 2 А;55,418009;43,813133;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.49 руб.;54.49 руб.;60.59 руб.;;;;;;;;;;;;;;;;
Республика Мордовия;;№ 585;Респ. Мордовия, Саранск, Северо-Восточное ш., 2/1;54,2224683;45,21436904;Магазин;;49.55 руб.;54.15 руб.;;62 руб.;;;25 руб.;;;;;;;;;;;;
Республика Мордовия;;№ 586;Респ. Мордовия, Саранск, ул. Победы, 1Д;54,204325;45,137567;"Кафетерий
Магазин";"Автотовары
Бесплатная горячая питьевая вода
Выпечка
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;;62 руб.;;66.7 руб.;;;;;;;;;;;;;
Республика Мордовия;;№ 587;Респ. Мордовия, Саранск, ул. Лодыгина, 17б;54,223885;45,203863;"Кафетерий
Магазин";"Автотовары
Бесплатная горячая питьевая вода
Выпечка
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;59.95 руб.;62 руб.;;;25.5 руб.;;;;;;;;;;;;
Республика Мордовия;;№ 588;Респ. Мордовия, Саранск, ул. Косарева 116 А;54,202258;45,252922;"Кафетерий
Магазин";"Автотовары
Бесплатная горячая питьевая вода
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;;62 руб.;;;25.5 руб.;;;;;;;;;;;;
Республика Мордовия;;№ 589;Респ. Мордовия, Саранск, Лямбирское шоссе, 28;54,2377;45,1512;"Кафетерий
Магазин";"Автотовары
Бесплатная горячая питьевая вода
Выпечка
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;59.95 руб.;62 руб.;;;25.5 руб.;;;;;;;;;;;;
Республика Мордовия;;№ 590;Респ. Мордовия, Зубово-Полянский р-н, п. Аким-Сергеевка;54,0322;42,9067;"Кафетерий
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Бесплатная горячая питьевая вода
Выпечка
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;59.95 руб.;62 руб.;;;;;;;;;;;;;;;
Республика Мордовия;;№ 613;Респ. Мордовия, Саранск, ул. Севастопольская, 2Б;54,171263;45,208859;"Кафетерий
Магазин
Стоянка";"Автокафе
Автотовары
Бесплатная горячая питьевая вода
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Зарядная станция для электромобилей (ЭЗС)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.55 руб.;54.15 руб.;;62 руб.;49.85 руб.;66.7 руб.;25.5 руб.;0 руб.;;;;;;;;;;;
Республика Мордовия;;№ 672;Республика Мордовия, г. Саранск, ул. 2-я Промышленная д.36;54,2454;45,1884;;;49.55 руб.;54.15 руб.;59.95 руб.;62 руб.;;;;;;;;;;;;;;;
Республика Мордовия;;№ 673;Республика Мордовия, Рузаевский р-он, Красносельцовское сельское поселение, пос. Совхоз Красное Сельцо, ул. Гагарина 1А;54,033157;44,901768;;;49.55 руб.;54.15 руб.;59.95 руб.;62 руб.;;;;;;;;;;;;;;;
Республика Мордовия;;№ 674;Республика Мордовия, г. Саранск,  ул. Севастопольская 2В;54,1772;45,2192;;;49.55 руб.;54.15 руб.;;62 руб.;49.85 руб.;;;;;;;;;;;;;;
Псковская область;;№ 438 (АЗС-партнер);Псковская область, г. Псков, Чудская ул., 12;57,83415879;28,29466092;;;50.49 руб.;54.93 руб.;63.64 руб.;;;;;;;;;;;;;;;;
Псковская область;;№ 539 (АЗС-партнер);Псковская область, г. Псков, ул. Леона Поземского, д. 115;57,837207;28,309301;"Кафе GreenLight
Магазин";"WI-FI
Автокафе
Автотовары
Зарядка мобильных устройств
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";50.99 руб.;55.24 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
